Citation	Study	Sample	Measure	Reliability	N	Estimate	Splithalf	Parts	Parts_provided	Delay	Aggregate	Aggregate_num	Estimate_notes	Estimate_searchable	Source
"Grumm, M., & von Collani, G. (2007). Measuring Big-Five personality dimensions with the implicit association test - Implicit personality traits or self-esteem? Personality and Individual Differences, 43, 2205–2217."	1	1	IAT	IC	87	0.81		2					Extraversion	Yes	Search
"Grumm, M., & von Collani, G. (2007). Measuring Big-Five personality dimensions with the implicit association test - Implicit personality traits or self-esteem? Personality and Individual Differences, 43, 2205–2217."	1	1	IAT	IC	87	0.82		2					Agreeableness	Yes	Search
"Grumm, M., & von Collani, G. (2007). Measuring Big-Five personality dimensions with the implicit association test - Implicit personality traits or self-esteem? Personality and Individual Differences, 43, 2205–2217."	1	1	IAT	IC	87	0.73		2					Conscientiousness	Yes	Search
"Grumm, M., & von Collani, G. (2007). Measuring Big-Five personality dimensions with the implicit association test - Implicit personality traits or self-esteem? Personality and Individual Differences, 43, 2205–2217."	1	1	IAT	IC	87	0.7		2					Neuroticism	Yes	Search
"Grumm, M., & von Collani, G. (2007). Measuring Big-Five personality dimensions with the implicit association test - Implicit personality traits or self-esteem? Personality and Individual Differences, 43, 2205–2217."	1	1	IAT	IC	87	0.64		2					Openness	Yes	Search
"Grumm, M., & von Collani, G. (2007). Measuring Big-Five personality dimensions with the implicit association test - Implicit personality traits or self-esteem? Personality and Individual Differences, 43, 2205–2217."	2	1	IAT	IC	50	0.87		2					Extraversion	Yes	Search
"Grumm, M., & von Collani, G. (2007). Measuring Big-Five personality dimensions with the implicit association test - Implicit personality traits or self-esteem? Personality and Individual Differences, 43, 2205–2217."	2	1	IAT	IC	50	0.79		2					Neuroticism	Yes	Search
"Grumm, M., & von Collani, G. (2007). Measuring Big-Five personality dimensions with the implicit association test - Implicit personality traits or self-esteem? Personality and Individual Differences, 43, 2205–2217."	2	1	IAT	IC	50	0.81		2					Self-esteem	Yes	Search
"Huijding, J., & de Jong, P. J. (2007). Beyond fear and disgust: The role of (automatic) contamination-related associations in spider phobia. Journal of Behavior Therapy and Experimental Psychiatry, 38, 200–211."	1	1	IAT	IC	90	0.82		2			Mean of IATs	3		Yes	Search
"Banse, R., & Kowalick, C. (2007). Implicit attitudes towards romantic partners predict well-being in stressful life conditions: Evidence from the antenatal maternity ward. International Journal of Psychology, 42, 149–157."	1	1	IAT	IC	137	0.83		4						Yes	Search
"Nosek, B. A., & Smyth, F. L. (2007). A multitrait-multimethod validation of the implicit association test: Implicit and explicit attitudes are related but distinct constructs. Experimental Psychology, 54, 14–29."	1	1	IAT	IC	283	0.8		2					"FI. Data is aggregated from 5 studies, which each contains some of the measures. For analysis, treated as one independent sample."	Yes	Search
"Nosek, B. A., & Smyth, F. L. (2007). A multitrait-multimethod validation of the implicit association test: Implicit and explicit attitudes are related but distinct constructs. Experimental Psychology, 54, 14–29."	1	1	IAT	IC	281	0.87		2					"DR. Data is aggregated from 5 studies, which each contains some of the measures. For analysis, treated as one independent sample."	Yes	Search
"Nosek, B. A., & Smyth, F. L. (2007). A multitrait-multimethod validation of the implicit association test: Implicit and explicit attitudes are related but distinct constructs. Experimental Psychology, 54, 14–29."	1	1	IAT	IC	223	0.85		2					"HS. Data is aggregated from 5 studies, which each contains some of the measures. For analysis, treated as one independent sample."	Yes	Search
"Nosek, B. A., & Smyth, F. L. (2007). A multitrait-multimethod validation of the implicit association test: Implicit and explicit attitudes are related but distinct constructs. Experimental Psychology, 54, 14–29."	1	1	IAT	IC	222	0.8		2					"SG. Data is aggregated from 5 studies, which each contains some of the measures. For analysis, treated as one independent sample."	Yes	Search
"Nosek, B. A., & Smyth, F. L. (2007). A multitrait-multimethod validation of the implicit association test: Implicit and explicit attitudes are related but distinct constructs. Experimental Psychology, 54, 14–29."	1	1	IAT	IC	166	0.84		2					"WB. Data is aggregated from 5 studies, which each contains some of the measures. For analysis, treated as one independent sample."	Yes	Search
"Nosek, B. A., & Smyth, F. L. (2007). A multitrait-multimethod validation of the implicit association test: Implicit and explicit attitudes are related but distinct constructs. Experimental Psychology, 54, 14–29."	1	1	IAT	IC	141	0.81		2					"CE. Data is aggregated from 5 studies, which each contains some of the measures. For analysis, treated as one independent sample."	Yes	Search
"Nosek, B. A., & Smyth, F. L. (2007). A multitrait-multimethod validation of the implicit association test: Implicit and explicit attitudes are related but distinct constructs. Experimental Psychology, 54, 14–29."	1	1	IAT	IC	146	0.81		2					"TF. Data is aggregated from 5 studies, which each contains some of the measures. For analysis, treated as one independent sample."	Yes	Search
"Nosek, B. A., Smyth, F. L., Hansen, J. J., Devos, T., Lindner, N. M., Ranganath, K. A., … Banaji, M. R. (2007). Pervasiveness and correlates of implicit attitudes and stereotypes. European Review of Social Psychology, 18, 36–88."	1	1	IAT	IC	351204	0.72		4					"I  did not include estimates from Greenwald et al. 2003 (Understanding & Using the IAT 1), which uses data that seems to overlap with this paper."	Yes	Search
"Nosek, B. A., Smyth, F. L., Hansen, J. J., Devos, T., Lindner, N. M., Ranganath, K. A., … Banaji, M. R. (2007). Pervasiveness and correlates of implicit attitudes and stereotypes. European Review of Social Psychology, 18, 36–88."	1	2	IAT	IC	732881	0.75		4					"I  did not include estimates from Greenwald et al. 2003 (Understanding & Using the IAT 1), which uses data that seems to overlap with this paper."	Yes	Search
"Nosek, B. A., Smyth, F. L., Hansen, J. J., Devos, T., Lindner, N. M., Ranganath, K. A., … Banaji, M. R. (2007). Pervasiveness and correlates of implicit attitudes and stereotypes. European Review of Social Psychology, 18, 36–88."	1	3	IAT	IC	122988	0.71		4					"I  did not include estimates from Greenwald et al. 2003 (Understanding & Using the IAT 1), which uses data that seems to overlap with this paper."	Yes	Search
"Nosek, B. A., Smyth, F. L., Hansen, J. J., Devos, T., Lindner, N. M., Ranganath, K. A., … Banaji, M. R. (2007). Pervasiveness and correlates of implicit attitudes and stereotypes. European Review of Social Psychology, 18, 36–88."	1	4	IAT	IC	28816	0.76		4					"I  did not include estimates from Greenwald et al. 2003 (Understanding & Using the IAT 1), which uses data that seems to overlap with this paper."	Yes	Search
"Nosek, B. A., Smyth, F. L., Hansen, J. J., Devos, T., Lindner, N. M., Ranganath, K. A., … Banaji, M. R. (2007). Pervasiveness and correlates of implicit attitudes and stereotypes. European Review of Social Psychology, 18, 36–88."	1	5	IAT	IC	77254	0.74		4					"I  did not include estimates from Greenwald et al. 2003 (Understanding & Using the IAT 1), which uses data that seems to overlap with this paper."	Yes	Search
"Nosek, B. A., Smyth, F. L., Hansen, J. J., Devos, T., Lindner, N. M., Ranganath, K. A., … Banaji, M. R. (2007). Pervasiveness and correlates of implicit attitudes and stereotypes. European Review of Social Psychology, 18, 36–88."	1	6	IAT	IC	66092	0.76		4					"I  did not include estimates from Greenwald et al. 2003 (Understanding & Using the IAT 1), which uses data that seems to overlap with this paper."	Yes	Search
"Nosek, B. A., Smyth, F. L., Hansen, J. J., Devos, T., Lindner, N. M., Ranganath, K. A., … Banaji, M. R. (2007). Pervasiveness and correlates of implicit attitudes and stereotypes. European Review of Social Psychology, 18, 36–88."	1	7	IAT	IC	38544	0.77		4					"I  did not include estimates from Greenwald et al. 2003 (Understanding & Using the IAT 1), which uses data that seems to overlap with this paper."	Yes	Search
"Nosek, B. A., Smyth, F. L., Hansen, J. J., Devos, T., Lindner, N. M., Ranganath, K. A., … Banaji, M. R. (2007). Pervasiveness and correlates of implicit attitudes and stereotypes. European Review of Social Psychology, 18, 36–88."	1	8	IAT	IC	269683	0.79		4					"I  did not include estimates from Greenwald et al. 2003 (Understanding & Using the IAT 1), which uses data that seems to overlap with this paper."	Yes	Search
"Nosek, B. A., Smyth, F. L., Hansen, J. J., Devos, T., Lindner, N. M., Ranganath, K. A., … Banaji, M. R. (2007). Pervasiveness and correlates of implicit attitudes and stereotypes. European Review of Social Psychology, 18, 36–88."	1	9	IAT	IC	199329	0.74		4					"I  did not include estimates from Greenwald et al. 2003 (Understanding & Using the IAT 1), which uses data that seems to overlap with this paper."	Yes	Search
"Nosek, B. A., Smyth, F. L., Hansen, J. J., Devos, T., Lindner, N. M., Ranganath, K. A., … Banaji, M. R. (2007). Pervasiveness and correlates of implicit attitudes and stereotypes. European Review of Social Psychology, 18, 36–88."	1	10	IAT	IC	85742	0.67		4					"I  did not include estimates from Greenwald et al. 2003 (Understanding & Using the IAT 1), which uses data that seems to overlap with this paper."	Yes	Search
"Nosek, B. A., Smyth, F. L., Hansen, J. J., Devos, T., Lindner, N. M., Ranganath, K. A., … Banaji, M. R. (2007). Pervasiveness and correlates of implicit attitudes and stereotypes. European Review of Social Psychology, 18, 36–88."	1	11	IAT	IC	44878	0.82		4					"I  did not include estimates from Greenwald et al. 2003 (Understanding & Using the IAT 1), which uses data that seems to overlap with this paper."	Yes	Search
"Nosek, B. A., Smyth, F. L., Hansen, J. J., Devos, T., Lindner, N. M., Ranganath, K. A., … Banaji, M. R. (2007). Pervasiveness and correlates of implicit attitudes and stereotypes. European Review of Social Psychology, 18, 36–88."	1	12	IAT	IC	57569	0.78		4					"I  did not include estimates from Greenwald et al. 2003 (Understanding & Using the IAT 1), which uses data that seems to overlap with this paper."	Yes	Search
"Nosek, B. A., Smyth, F. L., Hansen, J. J., Devos, T., Lindner, N. M., Ranganath, K. A., … Banaji, M. R. (2007). Pervasiveness and correlates of implicit attitudes and stereotypes. European Review of Social Psychology, 18, 36–88."	1	13	IAT	IC	299298	0.73		4					"I  did not include estimates from Greenwald et al. 2003 (Understanding & Using the IAT 1), which uses data that seems to overlap with this paper."	Yes	Search
"Nosek, B. A., Smyth, F. L., Hansen, J. J., Devos, T., Lindner, N. M., Ranganath, K. A., … Banaji, M. R. (2007). Pervasiveness and correlates of implicit attitudes and stereotypes. European Review of Social Psychology, 18, 36–88."	1	14	IAT	IC	83084	0.63		4					"I  did not include estimates from Greenwald et al. 2003 (Understanding & Using the IAT 1), which uses data that seems to overlap with this paper."	Yes	Search
"Nosek, B. A., Smyth, F. L., Hansen, J. J., Devos, T., Lindner, N. M., Ranganath, K. A., … Banaji, M. R. (2007). Pervasiveness and correlates of implicit attitudes and stereotypes. European Review of Social Psychology, 18, 36–88."	1	15	IAT	IC	68123	0.77		4					"I  did not include estimates from Greenwald et al. 2003 (Understanding & Using the IAT 1), which uses data that seems to overlap with this paper."	Yes	Search
"Nosek, B. A., Smyth, F. L., Hansen, J. J., Devos, T., Lindner, N. M., Ranganath, K. A., … Banaji, M. R. (2007). Pervasiveness and correlates of implicit attitudes and stereotypes. European Review of Social Psychology, 18, 36–88."	1	16	IAT	IC	22904	0.81		4					"I  did not include estimates from Greenwald et al. 2003 (Understanding & Using the IAT 1), which uses data that seems to overlap with this paper."	Yes	Search
"Nosek, B. A., Smyth, F. L., Hansen, J. J., Devos, T., Lindner, N. M., Ranganath, K. A., … Banaji, M. R. (2007). Pervasiveness and correlates of implicit attitudes and stereotypes. European Review of Social Psychology, 18, 36–88."	1	17	IAT	IC	27146	0.87		4					"I  did not include estimates from Greenwald et al. 2003 (Understanding & Using the IAT 1), which uses data that seems to overlap with this paper."	Yes	Search
"Hudson, A., Gough, K., Yi, S., Stiles, M., Davis MacNevin, P., & Stewart, S. H. (2017). Examining the effects of gambling-relevant cues on gambling outcome expectancies. International Gambling Studies, 17, 236–250."	1	1	Evaluative Priming	IC	61	0.89	0.8	2			Average of 4 trial types	4		No	Search
"Klein, A. M., van Niekerk, R., ten Brink, G., Rapee, R. M., Hudson, J. L., Bögels, S. M., … Rinck, M. (2017). Biases in attention, interpretation, memory, and associations in children with varying levels of spider fear: Inter-relations and prediction of behavior. Journal of Behavior Therapy and Experimental Psychiatry, 54, 285–291."	1	1	Evaluative Priming	IC	81	0.7		2	No				Midpoint of range given (.57 and .82)	No	Search
"Robey, K. L., Beckley, L., & Kirschner, M. (2006). Implicit infantilizing attitudes about disability. Journal of Developmental and Physical Disabilities, 18, 441–453."	1	1	IAT	TRR	30	0.43				5 days			infantilization	Yes	Search
"Robey, K. L., Beckley, L., & Kirschner, M. (2006). Implicit infantilizing attitudes about disability. Journal of Developmental and Physical Disabilities, 18, 441–453."	1	1	IAT	TRR	30	0.5				5 days			evaluation	Yes	Search
"Steffens, M. C. (2005). Implicit and explicit attitudes towards lesbians and gay men. Journal of Homosexuality, 49, 39–66."	1	1	IAT	IC	80	0.89		2	No				gay men	Yes	Search
"Steffens, M. C. (2005). Implicit and explicit attitudes towards lesbians and gay men. Journal of Homosexuality, 49, 39–66."	1	1	IAT	IC	80	0.9		2	No				lesbians	Yes	Search
"Steffens, M. C. (2005). Implicit and explicit attitudes towards lesbians and gay men. Journal of Homosexuality, 49, 39–66."	2	1	IAT	IC	63	0.85		2	No				gender	Yes	Search
"Steffens, M. C. (2005). Implicit and explicit attitudes towards lesbians and gay men. Journal of Homosexuality, 49, 39–66."	2	1	IAT	IC	63	0.91		2	No		Combined two sub-samples who took IATs about own gender	2	gay men / lesbians IAT combined	Yes	Search
"Steffens, M. C. (2005). Implicit and explicit attitudes towards lesbians and gay men. Journal of Homosexuality, 49, 39–66."	3	1	IAT	IC	59	0.91		2	No				gender role	Yes	Search
"Steffens, M. C. (2005). Implicit and explicit attitudes towards lesbians and gay men. Journal of Homosexuality, 49, 39–66."	3	1	IAT	IC	59	0.91		2	No		Combined two sub-samples who took IATs about own gender	2	gay men / lesbians IAT combined	Yes	Search
"Back, M. D., Schmukle, S. C., & Egloff, B. (2005). Measuring task-switching ability in the implicit association test. Experimental Psychology, 52, 167–179."	2	1	IAT	IC	83	0.84		58					"Anxiety, D1 measure. Excluded TSA-IAT for stimuli/categories that deviate too much from standard practice"	Yes	Search
"Back, M. D., Schmukle, S. C., & Egloff, B. (2005). Measuring task-switching ability in the implicit association test. Experimental Psychology, 52, 167–179."	3	1	IAT	IC	57	0.73		58					"Anxiety, D1 measure. Excluded TSA-IAT for stimuli/categories that deviate too much from standard practice"	Yes	Search
"Back, M. D., Schmukle, S. C., & Egloff, B. (2005). Measuring task-switching ability in the implicit association test. Experimental Psychology, 52, 167–179."	4	1	IAT	IC	62	0.74		58					"Anxiety, D1 measure. Excluded TSA-IAT for stimuli/categories that deviate too much from standard practice"	Yes	Search
"Egloff, B., Schwerdtfeger, A., & Schmukle, S. C. (2005). Temporal stability of the Implicit Association Test-Anxiety. Journal of Personality Assessment, 84, 82–88."	1	1	IAT	IC	65	0.85		2					"T1, D1 algorithm"	Yes	Search
"Egloff, B., Schwerdtfeger, A., & Schmukle, S. C. (2005). Temporal stability of the Implicit Association Test-Anxiety. Journal of Personality Assessment, 84, 82–88."	1	1	IAT	IC	65	0.79		2					"T2, D1 algorithm"	Yes	Search
"Egloff, B., Schwerdtfeger, A., & Schmukle, S. C. (2005). Temporal stability of the Implicit Association Test-Anxiety. Journal of Personality Assessment, 84, 82–88."	1	1	IAT	TRR	65	0.58				1 week			D1 algorithm	Yes	Search
"Egloff, B., Schwerdtfeger, A., & Schmukle, S. C. (2005). Temporal stability of the Implicit Association Test-Anxiety. Journal of Personality Assessment, 84, 82–88."	2	1	IAT	IC	39	0.89		2					"T1, D1 algorithm"	Yes	Search
"Egloff, B., Schwerdtfeger, A., & Schmukle, S. C. (2005). Temporal stability of the Implicit Association Test-Anxiety. Journal of Personality Assessment, 84, 82–88."	2	1	IAT	IC	39	0.9		2					"T2, D1 algorithm"	Yes	Search
"Egloff, B., Schwerdtfeger, A., & Schmukle, S. C. (2005). Temporal stability of the Implicit Association Test-Anxiety. Journal of Personality Assessment, 84, 82–88."	2	1	IAT	TRR	39	0.62				1 month			D1 algorithm	Yes	Search
"Egloff, B., Schwerdtfeger, A., & Schmukle, S. C. (2005). Temporal stability of the Implicit Association Test-Anxiety. Journal of Personality Assessment, 84, 82–88."	3	1	IAT	IC	36	0.83		2					"T1, D1 algorithm"	Yes	Search
"Egloff, B., Schwerdtfeger, A., & Schmukle, S. C. (2005). Temporal stability of the Implicit Association Test-Anxiety. Journal of Personality Assessment, 84, 82–88."	3	1	IAT	IC	36	0.85		2					"T2, D1 algorithm"	Yes	Search
"Egloff, B., Schwerdtfeger, A., & Schmukle, S. C. (2005). Temporal stability of the Implicit Association Test-Anxiety. Journal of Personality Assessment, 84, 82–88."	3	1	IAT	TRR	36	0.47				1 year			D1 algorithm	Yes	Search
"Kim, D.-Y. (2004). The implicit life satisfaction measure. Asian Journal of Social Psychology, 7, 236–262."	1	1	IAT	IC	90	0.77		2	No				ILS-Global	Yes	Search
"Kim, D.-Y. (2004). The implicit life satisfaction measure. Asian Journal of Social Psychology, 7, 236–262."	1	1	IAT	IC	90	0.82		2	No				ILS-Unique	Yes	Search
"Kim, D.-Y. (2004). The implicit life satisfaction measure. Asian Journal of Social Psychology, 7, 236–262."	1	1	IAT	IC	90	0.86		2	No				Implicit self-esteem	Yes	Search
"Kim, D.-Y. (2004). The implicit life satisfaction measure. Asian Journal of Social Psychology, 7, 236–262."	1	1	IAT	TRR	90	0.22				3 weeks			ILS-Global	Yes	Search
"Kim, D.-Y. (2004). The implicit life satisfaction measure. Asian Journal of Social Psychology, 7, 236–262."	1	1	IAT	TRR	90	0.11				3 weeks			ILS-Unique	Yes	Search
"Kim, D.-Y. (2004). The implicit life satisfaction measure. Asian Journal of Social Psychology, 7, 236–262."	1	1	IAT	TRR	90	0.42				3 weeks			Implicit self-esteem	Yes	Search
"Kim, D.-Y. (2004). The implicit life satisfaction measure. Asian Journal of Social Psychology, 7, 236–262."	2	1	IAT	IC	75	0.77		2	No				ILS-Global	Yes	Search
"Kim, D.-Y. (2004). The implicit life satisfaction measure. Asian Journal of Social Psychology, 7, 236–262."	2	1	IAT	IC	75	0.75		2	No				ILS-Unique	Yes	Search
"Kim, D.-Y. (2004). The implicit life satisfaction measure. Asian Journal of Social Psychology, 7, 236–262."	2	1	IAT	IC	75	0.81		2	No				ILS-Emotion	Yes	Search
"Kim, D.-Y. (2004). The implicit life satisfaction measure. Asian Journal of Social Psychology, 7, 236–262."	3	1	IAT	IC	109	0.78		2	No				ILS-Global preliminary test	Yes	Search
"Kim, D.-Y. (2004). The implicit life satisfaction measure. Asian Journal of Social Psychology, 7, 236–262."	3	1	IAT	IC	109	0.81		2	No				ILS-Unique preliminary test	Yes	Search
"Schultz, P. W., Shriver, C., Tabanico, J. J., & Khazian, A. M. (2004). Implicit connections with nature. Journal of Environmental Psychology, 24, 31–42."	2	1	IAT	TRR	32	0.45				same session				Yes	Search
"Schultz, P. W., Shriver, C., Tabanico, J. J., & Khazian, A. M. (2004). Implicit connections with nature. Journal of Environmental Psychology, 24, 31–42."	2	2	IAT	TRR	33	0.46				1 week				Yes	Search
"Schultz, P. W., Shriver, C., Tabanico, J. J., & Khazian, A. M. (2004). Implicit connections with nature. Journal of Environmental Psychology, 24, 31–42."	2	3	IAT	TRR	33	0.4				4 week				Yes	Search
"Egloff, B., & Schmukle, S. C. (2003). Does social desirability moderate the relationship between implicit and explicit anxiety measures? Personality and Individual Differences, 35, 1697–1706."	1	1	IAT	IC	145	0.81		58						Yes	Search
"Egloff, B., & Schmukle, S. C. (2003). Does social desirability moderate the relationship between implicit and explicit anxiety measures? Personality and Individual Differences, 35, 1697–1706."	1	1	IAT	IC	62	0.78		58						Yes	Search
"Steffens, M. C., & Buchner, A. (2003). Implicit Association Test: separating transsituationally stable and variable components of attitudes toward gay men. Experimental Psychology, 50, 33–48."	1	1	IAT	IC	103	0.89		20					"Didn't include TRRs, which were partial correlations"	Yes	Search
"Steffens, M. C., & Buchner, A. (2003). Implicit Association Test: separating transsituationally stable and variable components of attitudes toward gay men. Experimental Psychology, 50, 33–48."	2	1	IAT	IC	107	0.92		20					"Didn't include TRRs, which were partial correlations"	Yes	Search
"Egloff, B., & Schmukle, S. C. (2002). Predictive validity of an implicit association test for assessing anxiety. Journal of Personality and Social Psychology, 83, 1441–1455."	1	1	IAT	IC	41	0.77		58					T1	Yes	Search
"Egloff, B., & Schmukle, S. C. (2002). Predictive validity of an implicit association test for assessing anxiety. Journal of Personality and Social Psychology, 83, 1441–1455."	1	1	IAT	IC	41	0.8		58					T2	Yes	Search
"Egloff, B., & Schmukle, S. C. (2002). Predictive validity of an implicit association test for assessing anxiety. Journal of Personality and Social Psychology, 83, 1441–1455."	1	1	IAT	TRR	41	0.57				1 week				Yes	Search
"Egloff, B., & Schmukle, S. C. (2002). Predictive validity of an implicit association test for assessing anxiety. Journal of Personality and Social Psychology, 83, 1441–1455."	2	1	IAT	IC	20	0.8		58					Control condition	Yes	Search
"Egloff, B., & Schmukle, S. C. (2002). Predictive validity of an implicit association test for assessing anxiety. Journal of Personality and Social Psychology, 83, 1441–1455."	3	1	IAT	IC	62	0.78		58						Yes	Search
"Egloff, B., & Schmukle, S. C. (2002). Predictive validity of an implicit association test for assessing anxiety. Journal of Personality and Social Psychology, 83, 1441–1455."	4	1	IAT	IC	33	0.76		58						Yes	Search
"Banse, R., Seise, J., & Zerbes, N. (2001). Implicit attitudes towards homosexuality: Reliability, validity, and controllability of the IAT. Experimental Psychology, 48, 145–160."	1	1	IAT	IC	101	0.85		2					Homos.-IAT 1	Yes	Search
"Banse, R., Seise, J., & Zerbes, N. (2001). Implicit attitudes towards homosexuality: Reliability, validity, and controllability of the IAT. Experimental Psychology, 48, 145–160."	1	1	IAT	IC	101	0.83		2					Homos.-IAT 2	Yes	Search
"Banse, R., Seise, J., & Zerbes, N. (2001). Implicit attitudes towards homosexuality: Reliability, validity, and controllability of the IAT. Experimental Psychology, 48, 145–160."	1	1	IAT	IC	101	0.8		2					gender	Yes	Search
"Banse, R., Seise, J., & Zerbes, N. (2001). Implicit attitudes towards homosexuality: Reliability, validity, and controllability of the IAT. Experimental Psychology, 48, 145–160."	1	1	IAT	TRR	101	0.52				same session				Yes	Search
"Banse, R., Seise, J., & Zerbes, N. (2001). Implicit attitudes towards homosexuality: Reliability, validity, and controllability of the IAT. Experimental Psychology, 48, 145–160."	2	1	IAT	IC	79	0.88		2					T1	Yes	Search
"Banse, R., Seise, J., & Zerbes, N. (2001). Implicit attitudes towards homosexuality: Reliability, validity, and controllability of the IAT. Experimental Psychology, 48, 145–160."	2	1	IAT	IC	79	0.81		2					T2	Yes	Search
"Banse, R., Seise, J., & Zerbes, N. (2001). Implicit attitudes towards homosexuality: Reliability, validity, and controllability of the IAT. Experimental Psychology, 48, 145–160."	2	1	IAT	TRR	79	0.38				same session				Yes	Search
"Lemmer, G., Gollwitzer, M., & Banse, R. (2015). On the psychometric properties of the aggressiveness-IAT for children and adolescents. Aggressive Behavior, 41, 84–95."	1	1	IAT	TRR	574	0.25				4-11 months	Aggregated across 4 administrations	6	Midpoint of range given (r = .14 to r = .36)	Yes	Review
"Leeuwis, F. H., Koot, H. M., Creemers, D. H. M., & van Lier, P. A. C. (2015). Implicit and explicit self-esteem discrepancies, victimization and the development of late childhood internalizing problems. Journal of Abnormal Child Psychology, 43, 909–919."	1	1	BIAT	TRR	330	0.29				1 year				Yes	Review
"Banse, R., Imhoff, R., Steffens, M., Schramm, N., Rosch, A., Roberts, M., Stangier, U. (2012). Partner-AMP and well-being: Evidence for an implicit secure base script? Personal Relationships, 20, 140-154. "	1	1	AMP	IC	59	0.82		60						Yes	Review
"Banse, R., Imhoff, R., Steffens, M., Schramm, N., Rosch, A., Roberts, M., Stangier, U. (2012). Partner-AMP and well-being: Evidence for an implicit secure base script? Personal Relationships, 20, 140-154. "	1	1	IAT	IC	59	0.78		2						Yes	Review
"Banse, R., Imhoff, R., Steffens, M., Schramm, N., Rosch, A., Roberts, M., Stangier, U. (2012). Partner-AMP and well-being: Evidence for an implicit secure base script? Personal Relationships, 20, 140-154. "	2	1	AMP	IC	42	0.89		60						Yes	Review
"Bar-Anan, Y., Nosek, B.A. (2012). Reporting intentional rating of the primes predicts priming effects in the Affective Misattribution Procedure. Personality and Social Psychology Bulletin, 38, 1194-1208. "	1a	1	AMP	IC	354	0.59		2						Yes	Review
"Bar-Anan, Y., Nosek, B.A. (2012). Reporting intentional rating of the primes predicts priming effects in the Affective Misattribution Procedure. Personality and Social Psychology Bulletin, 38, 1194-1208. "	1a	1	IAT	IC	354	0.55		2						Yes	Review
"Bar-Anan, Y., Nosek, B.A. (2012). Reporting intentional rating of the primes predicts priming effects in the Affective Misattribution Procedure. Personality and Social Psychology Bulletin, 38, 1194-1208. "	1b	1	AMP	IC	382	0.69		2						Yes	Review
"Bar-Anan, Y., Nosek, B.A. (2012). Reporting intentional rating of the primes predicts priming effects in the Affective Misattribution Procedure. Personality and Social Psychology Bulletin, 38, 1194-1208. "	1b	1	IAT	IC	382	0.83		2						Yes	Review
"Bar-Anan, Y., Nosek, B.A. (2012). Reporting intentional rating of the primes predicts priming effects in the Affective Misattribution Procedure. Personality and Social Psychology Bulletin, 38, 1194-1208. "	2	1	AMP	IC	533	0.7	0.54	2						Yes	Review
"Bar-Anan, Y., Nosek, B.A. (2012). Reporting intentional rating of the primes predicts priming effects in the Affective Misattribution Procedure. Personality and Social Psychology Bulletin, 38, 1194-1208. "	3	1	AMP	IC	702	0.63		2						Yes	Review
"Bar-Anan, Y., Nosek, B.A. (2012). Reporting intentional rating of the primes predicts priming effects in the Affective Misattribution Procedure. Personality and Social Psychology Bulletin, 38, 1194-1208. "	3	1	IAT	IC	702	0.59		2						Yes	Review
"Blaison, C., Imhoff, R., Hühnel, I., Hess, U., Banse, R. (2012). The Affect Misattribution Procedure: Hot or not? Emotion, 12, 403-412. "	1	1	AMP	IC	150	0.8		6						Yes	Review
"Blaison, C., Imhoff, R., Hühnel, I., Hess, U., Banse, R. (2012). The Affect Misattribution Procedure: Hot or not? Emotion, 12, 403-412. "	2	1	AMP	IC	86	0.75		6						Yes	Review
"Blaison, C., Imhoff, R., Hühnel, I., Hess, U., Banse, R. (2012). The Affect Misattribution Procedure: Hot or not? Emotion, 12, 403-412. "	3	1	AMP	IC	53	0.48		3						Yes	Review
"Carraro, L., Gawronski, B., & Castelli, L. (2010). Losing on all fronts: The effects of negative versus positive person-based campaigns on implicit and explicit evaluations of political candidates. British Journal of Social Psychology, 49, 453-470. "	1	1	AMP	IC	127	0.74		2			Average of 2 trial types	2		No	Review
"Chan, M., Chen, E., Hibbert, A.S., Wong, J. H. K., Miller, G. E. (2011). Implicit measures of early-life family conditions: Relationships to psychosocial characteristics and cardiovascular disease risk in adulthood. Health Psychology, 30, 570-578. "	1	1	AMP	TRR	86	0.56				1 month	Average of 3 trial types	3		Yes	Review
"Chan, M., Chen, E., Hibbert, A.S., Wong, J. H. K., Miller, G. E. (2011). Implicit measures of early-life family conditions: Relationships to psychosocial characteristics and cardiovascular disease risk in adulthood. Health Psychology, 30, 570-578. "	1	1	AMP	TRR	85	0.48				6 months	Average of 3 trial types	3		Yes	Review
"Cooley, E., Payne, B. K., & Phillips, K. J. (2014). Implicit bias and the illusion of conscious will. Social Psychological and Personality Science, 5, 500-507"	1	1	AMP	IC	115	0.93		2	No					Yes	Review
"Cooley, E., Payne, B. K., & Phillips, K. J. (2014). Implicit bias and the illusion of conscious will. Social Psychological and Personality Science, 5, 500-507"	2	1	AMP	IC	147	0.91		2	No					Yes	Review
"Cooley, E., Payne, B. K., & Phillips, K. J. (2014). Implicit bias and the illusion of conscious will. Social Psychological and Personality Science, 5, 500-507"	3	1	AMP	IC	82	0.87		2	No					Yes	Review
"De Houwer, J., & Tucker Smith, C. (2013). Go with your gut!: Effects in the Affect Misattribution Procedure become stronger when participants are encouraged to rely on their gut feelings. Social Psychology, 44, 299-302. "	1	1	AMP	IC	89	0.47		12						Yes	Review
